accession	resolved_version	feature_used	fetch_date	sha256	file	notes
GSE173083	barnalab/persist branch=master, commit=232f4f67c726abc1dbf6cc10cef00c784c0f8d22 (2022-01-14, last commit touching analysis/constructs.tsv; branch main returned 404: Not Found)	constructs.tsv+samples.csv (processed labels; raw reads NOT downloaded)	2026-08-18	7e0fc06593b2fc602d33a373b5fb1af9547991318b479351c7342eb4701049a4	constructs.tsv	n_rows=233 (matches ~233 expected), n_cols=65. URL https://raw.githubusercontent.com/barnalab/persist/master/analysis/constructs.tsv. Sequence cols: RNA.sequence/X5UTR.sequence/CDS.sequence/X3UTR.sequence/Barcode. Design cols: X5UTR/CDS/X3UTR/group/utr5type/cdstype/utr3type/cov5utrs. In-cell stability label = degradation_coef_in_cell (idx28; +degradation_coef_in_cell_error idx29, half_life_in_cell idx30): numeric n=203, NA n=30 (CoV2 variants 19, UTR (5') variants 10, UTR (5'/3') variants 1). Weighted ribosome load = ribosome_load (idx23): numeric n=233 (complete). In-solution: degradation_coef_in_solution idx33 numeric n=191.
GSE173083	barnalab/persist branch=master, commit=232f4f67c726abc1dbf6cc10cef00c784c0f8d22	constructs.tsv+samples.csv	2026-08-18	6925391095e00acab7d860778b405dbb2b21b890bd61f03da03b9e31b3af59ba	samples.csv	n_rows=96, n_cols=12 (Sample_ID, Sample_Name, I7_Index_ID, index, Group, Experiment, Time, Condition, Fraction, Spikein, Type, Factor). URL https://raw.githubusercontent.com/barnalab/persist/master/analysis/samples.csv. Note: GEO GSE173083 esummary reports n_samples=70 (GSM525919-GSM525988); repo samples.csv lists 96 rows (incl. technical/replicate libraries).
GRCh38 primary assembly FASTA	Ensembl release 110 (assembly GCA_000001405.29)	reference for E4 genome alignment	2026-08-18	NOT_DOWNLOADED (md5/sha256 NOT published on Ensembl FTP; CHECKSUMS file uses BSD sum: "22450 861294")	https://ftp.ensembl.org/pub/release-110/fasta/homo_sapiens/dna/Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz	881964081 bytes (0.82 GiB gz; ~3.1 GB uncompressed)	Last-Modified 2023-04-21; unmasked primary assembly (no haplotypes/patches); cloud-side fetch + local sha256 verification required post-download
GRCh38 annotation GTF	Ensembl release 110	metagene annotation	2026-08-18	NOT_DOWNLOADED (CHECKSUMS BSD sum: "62141 53053")	https://ftp.ensembl.org/pub/release-110/gtf/homo_sapiens/Homo_sapiens.GRCh38.110.gtf.gz	54325732 bytes (0.05 GiB gz)	Last-Modified 2023-04-21; matches Ensembl 110 release used with above FASTA
Kazusa codon usage Homo sapiens taxid 9606	Kazusa CUTG current (Homo sapiens [gbpri]: 93487 CDS's 40662582 codons)	codon usage table	2026-08-18	c6aff889c44c63a8541149fab2275aed4d090c8322f634e64e7b3f2e1da6da8b	D:/AI/BioNodulo/robust-work/data/hsapiens_codon_usage.tsv (source https://www.kazusa.or.jp/codon/cgi-bin/showcodon.cgi?species=9606&aa=1&style=N ; raw html: D:/AI/BioNodulo/robust-work/data/sgnex/kazusa_9606.html sha256 2ab09ab9dc1fee2ba5a90e2989735bf8a7f5b06d7de88ec0bbf6c7d93e6cd31c)	~2.5 KB (65 lines)	64 codon rows verified; AUG(=ATG) M fraction 1.00 and UGG(=TGG) W fraction 1.00; counts sum 40662582 == header total; codons in RNA-style (U) verbatim from Kazusa
U55762.1	U55762.1	CDS 679..1398 (/gene=egfp; enhanced green fluorescent protein)	Cloning vector pEGFP-N1 (synthetic vector)	720	TRUE	2026-08-18	0c99298f772d512378af5b9204758af1167dbc3d8449e5320049313e75aba0b3	egfp_u55762.fasta	ATG start, TAA stop, no internal stop, no ambiguous nt. Full record 4733 bp circular; neoR CDS 2629..3423 not extracted by design.
NM_000207	NM_000207.3	CDS 60..392 (/gene=INS; insulin preproprotein)	Homo sapiens	333	TRUE	2026-08-18	665a66a257854471460a895ed4870e8d25390bd7b5d0c31356162e43d9bff7f5	insulin_nm000207.fasta	Expected 330 nt; got 333 nt (=110 aa preproinsulin incl TAG stop; +0.9%, within +-5%). id=NM_000207 resolved to newest live version .3 (mRNA 465 bp).
NM_002187	NM_002187.3	CDS 57..1043 (/gene=IL12B; interleukin-12 subunit beta precursor)	Homo sapiens	987	TRUE	2026-08-18	607da12a6c7e0b3647affe1a82d5c6c85cf3a513c70a8067c5536110c0085c44	il12b_nm002187.fasta	Expected ~990 nt; got 987 nt (=328 aa p40 incl TAG stop; -0.3%, within +-5%). Resolved to .3 (mRNA 2364 bp).
M15077.1	M15077.1	CDS join(304..429,487..694,746..1079,1128..1448,1498..1852,1896..2061,2109..2251) - 7 exons	Photinus pyralis (firefly)	1653	TRUE	2026-08-18	bda47a45efd106d0b28bf5e0401b14f227cd4e69e463d8e378d199b7012ef00a	luc_m15077.fasta	Genomic record with introns A-F; exons spliced in silico. Expected 1650 nt; got 1653 nt (=549 aa + TAA; +0.18%, within +-5%). ATG start, no internal stop.
NC_045512.2	NC_045512.2	22517..23185 subregion of S CDS (S CDS/gene = 21563..25384)	Severe acute respiratory syndrome coronavirus 2 (Wuhan-Hu-1)	669	TRUE	2026-08-18	6a6263262aea59758e813bf456489264734f1f7e6ac2e8399706ec5f778197d6	rbd_nc045512_22517_23185.fasta	Fetched via efetch seq_start=22517&seq_stop=23185; byte-identical to GenBank ORIGIN slice; in frame with S CDS (offset 22517-21563=954=318 codons, mod 3 = 0). ATG context NOT prepended (workflow prepends later), per instruction.
NM_000378	NM_000378.6	CDS 180..1688 (/gene=WT1; Wilms tumor protein isoform A)	Homo sapiens	1509	FALSE	2026-08-18	fccc8b13f7c44cae69e147d1ed68b477dc4bdb984ea4853a8d2f6f4f3a775230	wt1_nm000378.fasta	VERIFICATION FLAG (+11.8% vs expected ~1350 nt): current RefSeq .6 annotates a 1509-nt CDS (502 aa + TGA stop) with non-AUG CTG initiation (/note='non-AUG (CUG) translation initiation codon'). Expected 1350 nt matches the older/shorter AUG-initiated 449-aa annotation. Sequence is the authentic current-annotation CDS; no substitution made (HARD RULE). Decide downstream whether 1350-nt expectation or .6 annotation is the design target.
Addgene_42230	n/a (inventory only, not downloaded)	n/a	SpCas9 plasmid pX330 (deposit Zhang lab)	n/a	n/a	2026-08-18	n/a	n/a	NO - full sequence not downloadable without login. Anonymous GET https://www.addgene.org/42230/seq/ = HTTP 404; sequences page (https://www.addgene.org/42230/sequences/, HTTP 200) links the sequence action to /users/login/?next=/42230/seq/. No snapgene/genbank media links exposed anonymously.
